Title,Location,Price,No of Beds,No of Bath Room,Covered Area
Buch Villas 5 Marla Double Storey Brand New Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,,,5 Marla
10 Marla House Available For sale In Model Town - Block B,"Model Town - Block B, Model Town",2.85 Crore,6 Beds,6 Baths,10 Marla
10 Marla House Available For sale In Model Town - Block B,"Model Town - Block B, Model Town",2.85 Crore,4 Beds,5 Baths,10 Marla
7.5 Marla House Available For Sale,"Buch Executive Villas - Phase 2, Buch Executive Villas",1.95 Crore,3 Beds,4 Baths,7.5 Marla
Sd House (4 Bed) 12 Marla In Askari 3 Multan Are Available For Sale,"Askari Colony, Multan",2.5 Crore,4 Beds,5 Baths,12 Marla
5 Marla Corner House for sale,"Wapda Town Phase 2, Wapda Town",1.45 Crore,5 Beds,6 Baths,5 Marla
5 Marla House For Sale In Beautiful Gulgasht Colony,"Gulgasht Colony, Multan",1.15 Crore,4 Beds,5 Baths,5 Marla
Corner Double Storey Brand New 1 Kanal House For Sale In Model Town,"Model Town - Block C, Model Town",5.4 Crore,6 Beds,6 Baths,1 Kanal
9 MARLA BRAND NEW DOUBLE STOREY VILLA FOR SALE ON GOLDEN LOCATION IN DHA VILLAS,"DHA Villas, DHA Defence",1.95 Crore,4 Beds,5 Baths,9 Marla
10 Marla House Available For sale In Model Town - Block B,"Model Town - Block B, Model Town",2.85 Crore,5 Beds,6 Baths,10 Marla
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,6 Beds,6 Baths,10 Marla
Buch Villas 5 Marla Brand New Double Storey Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,4 Beds,5 Baths,5 Marla
6 Marla Brand New Double Storey House For Sale On Dream Located In Dha Villas,"DHA Villas, DHA Defence",1.35 Crore,,,6 Marla
10 Marla House Available For sale In Model Town - Block B,"Model Town - Block B, Model Town",2.85 Crore,4 Beds,5 Baths,10 Marla
10 Marla Brand New Double Storey House For Sale,"Wapda Town Phase 2, Wapda Town",2.6 Crore,3 Beds,4 Baths,10 Marla
"Street 13, House No 19","Royal Orchard - Block G, Royal Orchard",1.25 Crore,5 Beds,6 Baths,5 Marla
Buch Villas 5 Marla Brand New Double Storey Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,3 Beds,4 Baths,5 Marla
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,6 Beds,6 Baths,10 Marla
House For sale In DHA Phase 1 - Sector M,"DHA Phase 1 - Sector M, DHA Phase 1",5.75 Crore,4 Beds,5 Baths,1 Kanal
Looking For A House In Defence Officer Colony,"Defence Officer Colony, Multan",7.5 Crore,5 Beds,6 Baths,1.7 Kanal
Looking For A House In Defence Officer Colony,"Defence Officer Colony, Multan",7.5 Crore,,,1.7 Kanal
Double Storey 10 Marla House For sale In Askari Colony Phase 2 Multan,"Askari Colony Phase 2, Askari Colony",2.25 Crore,,,10 Marla
20 Marla Double Storey House Full Marble Tiles Ideal Location Per Hy,"New Shalimar Colony, Multan",3 Crore,5 Beds,7 Baths,1 Kanal
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,3 Beds,4 Baths,10 Marla
10 Marla House Available For sale In Model Town - Block B,"Model Town - Block B, Model Town",2.85 Crore,3 Beds,4 Baths,10 Marla
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,,,10 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,4 Beds,5 Baths,10 Marla
5 Marla Corner House for sale,"Wapda Town Phase 2, Wapda Town",1.45 Crore,,,5 Marla
10 Marla Brand New Double Storey House For Sale,"Wapda Town Phase 2, Wapda Town",2.6 Crore,,,10 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,4 Beds,5 Baths,10 Marla
"Street 13, House No 19","Royal Orchard - Block G, Royal Orchard",1.25 Crore,6 Beds,6 Baths,5 Marla
10 Marla Brand New Double Storey House For Sale,"Wapda Town Phase 2, Wapda Town",2.6 Crore,5 Beds,7 Baths,10 Marla
"Street 13, House No 19","Royal Orchard - Block G, Royal Orchard",1.25 Crore,4 Beds,5 Baths,5 Marla
Buch Villas 5 Marla Double Storey Brand New Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,6 Beds,6 Baths,5 Marla
Bahdurpur 5 Marla Brand Double Storey House 4 Bed Attach Bath Available,"Bahadurpur, Multan",1 Crore,3 Beds,4 Baths,5 Marla
9  Marla House For Sale In Main Bosan Road Near Safari Town,"Bosan Road, Multan",1.3 Crore,6 Beds,6 Baths,9 Marla
9  Marla House For Sale In Main Bosan Road Near Safari Town,"Bosan Road, Multan",1.3 Crore,3 Beds,4 Baths,9 Marla
5 Marla Corner House for sale,"Wapda Town Phase 2, Wapda Town",1.45 Crore,,,5 Marla
9  Marla House For Sale In Main Bosan Road Near Safari Town,"Bosan Road, Multan",1.3 Crore,5 Beds,6 Baths,9 Marla
10 Marla Brand New Stylish House For Sale On Main 80ft Road,"Buch Executive Villas, Multan",2.75 Crore,3 Beds,4 Baths,10 Marla
5 Marla House For Sale In Beautiful Gulgasht Colony,"Gulgasht Colony, Multan",1.15 Crore,4 Beds,5 Baths,5 Marla
Double Storey 10 Marla House For sale In Askari Colony Phase 2 Multan,"Askari Colony Phase 2, Askari Colony",2.25 Crore,2 Beds,3 Baths,10 Marla
Buch Villas 5 Marla Double Storey Brand New Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,4 Beds,5 Baths,5 Marla
10 Marla Brand New Double Storey House For Sale,"Wapda Town Phase 2, Wapda Town",2.6 Crore,3 Beds,4 Baths,10 Marla
5 Marla Corner House for sale,"Wapda Town Phase 2, Wapda Town",1.45 Crore,,,5 Marla
Looking For A House In Defence Officer Colony,"Defence Officer Colony, Multan",7.5 Crore,5 Beds,7 Baths,1.7 Kanal
Bahdurpur 5 Marla Brand Double Storey House 4 Bed Attach Bath Available,"Bahadurpur, Multan",1 Crore,,,5 Marla
Double Storey 10 Marla House For sale In Askari Colony Phase 2 Multan,"Askari Colony Phase 2, Askari Colony",2.25 Crore,2 Beds,3 Baths,10 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,5 Beds,7 Baths,10 Marla
Buch Villas 5 Marla Double Storey Brand New Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,,,5 Marla
Double Storey 10 Marla House For sale In Askari Colony Phase 2 Multan,"Askari Colony Phase 2, Askari Colony",2.25 Crore,5 Beds,6 Baths,10 Marla
9 MARLA BRAND NEW DOUBLE STOREY VILLA FOR SALE ON GOLDEN LOCATION IN DHA VILLAS,"DHA Villas, DHA Defence",1.95 Crore,4 Beds,5 Baths,9 Marla
7.5 Marla House Available For Sale,"Buch Executive Villas - Phase 2, Buch Executive Villas",1.95 Crore,5 Beds,6 Baths,7.5 Marla
1 Kanal Spanish House Modern Design Hot Location Available For Sale In Dha Multan,"DHA Phase 1 - Sector M, DHA Phase 1",4.25 Crore,3 Beds,4 Baths,1 Kanal
9 MARLA BRAND NEW DOUBLE STOREY VILLA FOR SALE ON GOLDEN LOCATION IN DHA VILLAS,"DHA Villas, DHA Defence",1.95 Crore,,,9 Marla
20 Marla Double Storey House Full Marble Tiles Ideal Location Per Hy,"New Shalimar Colony, Multan",3 Crore,6 Beds,6 Baths,1 Kanal
10 Marla Brand New Double Storey House For Sale,"Wapda Town Phase 2, Wapda Town",2.6 Crore,5 Beds,6 Baths,10 Marla
Sd House (4 Bed) 12 Marla In Askari 3 Multan Are Available For Sale,"Askari Colony, Multan",2.5 Crore,4 Beds,5 Baths,12 Marla
5 Marla House For Sale In Beautiful Gulgasht Colony,"Gulgasht Colony, Multan",1.15 Crore,5 Beds,6 Baths,5 Marla
10 Marla Brand New Stylish House For Sale On Main 80ft Road,"Buch Executive Villas, Multan",2.75 Crore,5 Beds,6 Baths,10 Marla
6 Marla Brand New Double Storey House For Sale On Dream Located In Dha Villas,"DHA Villas, DHA Defence",1.35 Crore,,,6 Marla
10 Marla House Available For sale In Model Town - Block B,"Model Town - Block B, Model Town",2.85 Crore,5 Beds,6 Baths,10 Marla
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,,,10 Marla
10 Marla House Available For sale In Model Town - Block B,"Model Town - Block B, Model Town",2.85 Crore,3 Beds,4 Baths,10 Marla
10 Marla Brand New Stylish House For Sale On Main 80ft Road,"Buch Executive Villas, Multan",2.75 Crore,,,10 Marla
House For sale In DHA Phase 1 - Sector M,"DHA Phase 1 - Sector M, DHA Phase 1",5.75 Crore,,,1 Kanal
6 Marla Brand New Double Storey House For Sale On Dream Located In Dha Villas,"DHA Villas, DHA Defence",1.35 Crore,4 Beds,5 Baths,6 Marla
6 Marla Brand New Double Storey House For Sale On Dream Located In Dha Villas,"DHA Villas, DHA Defence",1.35 Crore,,,6 Marla
Corner Double Storey Brand New 1 Kanal House For Sale In Model Town,"Model Town - Block C, Model Town",5.4 Crore,2 Beds,3 Baths,1 Kanal
Get In Touch Now To Buy A House In Multan,"DHA Phase 1 - Sector M, DHA Phase 1",5.5 Crore,4 Beds,5 Baths,1 Kanal
10 Marla Brand New Stylish House For Sale On Main 80ft Road,"Buch Executive Villas, Multan",2.75 Crore,4 Beds,5 Baths,10 Marla
5 Marla House For Sale In Beautiful Gulgasht Colony,"Gulgasht Colony, Multan",1.15 Crore,5 Beds,6 Baths,5 Marla
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,5 Beds,6 Baths,10 Marla
10 Marla Brand New Double Storey House For Sale,"Wapda Town Phase 2, Wapda Town",2.6 Crore,5 Beds,6 Baths,10 Marla
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,,,10 Marla
Sd House (4 Bed) 12 Marla In Askari 3 Multan Are Available For Sale,"Askari Colony, Multan",2.5 Crore,3 Beds,4 Baths,12 Marla
Double Storey 10 Marla House For sale In Askari Colony Phase 2 Multan,"Askari Colony Phase 2, Askari Colony",2.25 Crore,5 Beds,6 Baths,10 Marla
1 Kanal Spanish House Modern Design Hot Location Available For Sale In Dha Multan,"DHA Phase 1 - Sector M, DHA Phase 1",4.25 Crore,4 Beds,5 Baths,1 Kanal
6 Marla House For Sale Munirabad,"Chowk Kumharanwala, Multan",70 Lakh,4 Beds,5 Baths,6 Marla
7.5 Marla House Available For Sale,"Buch Executive Villas - Phase 2, Buch Executive Villas",1.95 Crore,,,7.5 Marla
Sd House (4 Bed) 12 Marla In Askari 3 Multan Are Available For Sale,"Askari Colony, Multan",2.5 Crore,3 Beds,4 Baths,12 Marla
9  Marla House For Sale In Main Bosan Road Near Safari Town,"Bosan Road, Multan",1.3 Crore,5 Beds,6 Baths,9 Marla
Buch Villas 5 Marla Brand New Double Storey Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,3 Beds,4 Baths,5 Marla
Sd House (4 Bed) 12 Marla In Askari 3 Multan Are Available For Sale,"Askari Colony, Multan",2.5 Crore,4 Beds,5 Baths,12 Marla
Buch Villas 5 Marla Brand New Double Storey Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,5 Beds,6 Baths,5 Marla
House For sale In DHA Phase 1 - Sector M,"DHA Phase 1 - Sector M, DHA Phase 1",5.75 Crore,5 Beds,6 Baths,1 Kanal
9  Marla House For Sale In Main Bosan Road Near Safari Town,"Bosan Road, Multan",1.3 Crore,,,9 Marla
10 Marla Brand New Double Storey House For Sale,"Wapda Town Phase 2, Wapda Town",2.6 Crore,4 Beds,5 Baths,10 Marla
10 Marla Brand New Stylish House For Sale On Main 80ft Road,"Buch Executive Villas, Multan",2.75 Crore,5 Beds,6 Baths,10 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,4 Beds,5 Baths,10 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,,,10 Marla
7.5 Marla House Available For Sale,"Buch Executive Villas - Phase 2, Buch Executive Villas",1.95 Crore,3 Beds,4 Baths,7.5 Marla
House For sale In DHA Phase 1 - Sector M,"DHA Phase 1 - Sector M, DHA Phase 1",5.75 Crore,4 Beds,5 Baths,1 Kanal
6 Marla House For Sale Munirabad,"Chowk Kumharanwala, Multan",70 Lakh,6 Beds,6 Baths,6 Marla
"Street 13, House No 19","Royal Orchard - Block G, Royal Orchard",1.25 Crore,5 Beds,6 Baths,5 Marla
Sd House (4 Bed) 12 Marla In Askari 3 Multan Are Available For Sale,"Askari Colony, Multan",2.5 Crore,6 Beds,6 Baths,12 Marla
5 Marla Corner House for sale,"Wapda Town Phase 2, Wapda Town",1.45 Crore,6 Beds,6 Baths,5 Marla
20 Marla Double Storey House Full Marble Tiles Ideal Location Per Hy,"New Shalimar Colony, Multan",3 Crore,5 Beds,6 Baths,1 Kanal
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,3 Beds,4 Baths,10 Marla
9  Marla House For Sale In Main Bosan Road Near Safari Town,"Bosan Road, Multan",1.3 Crore,,,9 Marla
1 Kanal Spanish House Modern Design Hot Location Available For Sale In Dha Multan,"DHA Phase 1 - Sector M, DHA Phase 1",4.25 Crore,5 Beds,6 Baths,1 Kanal
Bahdurpur 5 Marla Brand Double Storey House 4 Bed Attach Bath Available,"Bahadurpur, Multan",1 Crore,4 Beds,5 Baths,5 Marla
5 Marla House For Sale In Beautiful Gulgasht Colony,"Gulgasht Colony, Multan",1.15 Crore,3 Beds,4 Baths,5 Marla
"Street 13, House No 19","Royal Orchard - Block G, Royal Orchard",1.25 Crore,5 Beds,7 Baths,5 Marla
Stunning 10 Marla House In Wapda Town Phase 2 Available,"Wapda Town Phase 2, Wapda Town",3 Crore,6 Beds,6 Baths,10 Marla
10 Marla Brand New Stylish House For Sale On Main 80ft Road,"Buch Executive Villas, Multan",2.75 Crore,4 Beds,5 Baths,10 Marla
5 Marla Corner House for sale,"Wapda Town Phase 2, Wapda Town",1.45 Crore,2 Beds,3 Baths,5 Marla
5 Marla Corner House for sale,"Wapda Town Phase 2, Wapda Town",1.45 Crore,2 Beds,3 Baths,5 Marla
Bahdurpur 5 Marla Brand Double Storey House 4 Bed Attach Bath Available,"Bahadurpur, Multan",1 Crore,5 Beds,6 Baths,5 Marla
Double Storey 10 Marla House For sale In Askari Colony Phase 2 Multan,"Askari Colony Phase 2, Askari Colony",2.25 Crore,5 Beds,6 Baths,10 Marla
6 Marla House For Sale Munirabad,"Chowk Kumharanwala, Multan",70 Lakh,5 Beds,6 Baths,6 Marla
Bahdurpur 5 Marla Brand Double Storey House 4 Bed Attach Bath Available,"Bahadurpur, Multan",1 Crore,,,5 Marla
Sd House (4 Bed) 12 Marla In Askari 3 Multan Are Available For Sale,"Askari Colony, Multan",2.5 Crore,3 Beds,4 Baths,12 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,5 Beds,6 Baths,10 Marla
Looking For A House In Defence Officer Colony,"Defence Officer Colony, Multan",7.5 Crore,3 Beds,4 Baths,1.7 Kanal
Buch Villas 5 Marla Double Storey Brand New Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,,,5 Marla
"Street 13, House No 19","Royal Orchard - Block G, Royal Orchard",1.25 Crore,5 Beds,6 Baths,5 Marla
7.5 Marla House Available For Sale,"Buch Executive Villas - Phase 2, Buch Executive Villas",1.95 Crore,,,7.5 Marla
10 Marla House Available For sale In Model Town - Block B,"Model Town - Block B, Model Town",2.85 Crore,3 Beds,4 Baths,10 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,5 Beds,6 Baths,10 Marla
Looking For A House In Defence Officer Colony,"Defence Officer Colony, Multan",7.5 Crore,,,1.7 Kanal
10 Marla Brand New Stylish House For Sale On Main 80ft Road,"Buch Executive Villas, Multan",2.75 Crore,5 Beds,7 Baths,10 Marla
1 Kanal Spanish House Modern Design Hot Location Available For Sale In Dha Multan,"DHA Phase 1 - Sector M, DHA Phase 1",4.25 Crore,3 Beds,4 Baths,1 Kanal
6 Marla Brand New Double Storey House For Sale On Dream Located In Dha Villas,"DHA Villas, DHA Defence",1.35 Crore,3 Beds,4 Baths,6 Marla
Sd House (4 Bed) 12 Marla In Askari 3 Multan Are Available For Sale,"Askari Colony, Multan",2.5 Crore,3 Beds,4 Baths,12 Marla
5 Marla House For Sale In Beautiful Gulgasht Colony,"Gulgasht Colony, Multan",1.15 Crore,5 Beds,6 Baths,5 Marla
6 Marla House For Sale Munirabad,"Chowk Kumharanwala, Multan",70 Lakh,,,6 Marla
Buch Villas 5 Marla Double Storey Brand New Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,5 Beds,6 Baths,5 Marla
10 Marla Brand New Stylish House For Sale On Main 80ft Road,"Buch Executive Villas, Multan",2.75 Crore,,,10 Marla
6 Marla Brand New Double Storey House For Sale On Dream Located In Dha Villas,"DHA Villas, DHA Defence",1.35 Crore,3 Beds,4 Baths,6 Marla
Buch Villas 5 Marla Brand New Double Storey Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,6 Beds,6 Baths,5 Marla
Bahdurpur 5 Marla Brand Double Storey House 4 Bed Attach Bath Available,"Bahadurpur, Multan",1 Crore,5 Beds,6 Baths,5 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,4 Beds,5 Baths,10 Marla
6 Marla Brand New Double Storey House For Sale On Dream Located In Dha Villas,"DHA Villas, DHA Defence",1.35 Crore,3 Beds,4 Baths,6 Marla
5 Marla Corner House for sale,"Wapda Town Phase 2, Wapda Town",1.45 Crore,4 Beds,5 Baths,5 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,3 Beds,4 Baths,10 Marla
20 Marla Double Storey House Full Marble Tiles Ideal Location Per Hy,"New Shalimar Colony, Multan",3 Crore,4 Beds,5 Baths,1 Kanal
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,5 Beds,7 Baths,10 Marla
House For sale In DHA Phase 1 - Sector M,"DHA Phase 1 - Sector M, DHA Phase 1",5.75 Crore,3 Beds,4 Baths,1 Kanal
20 Marla Double Storey House Full Marble Tiles Ideal Location Per Hy,"New Shalimar Colony, Multan",3 Crore,4 Beds,5 Baths,1 Kanal
5 Marla House For Sale In Beautiful Gulgasht Colony,"Gulgasht Colony, Multan",1.15 Crore,5 Beds,6 Baths,5 Marla
5 Marla Corner House for sale,"Wapda Town Phase 2, Wapda Town",1.45 Crore,4 Beds,5 Baths,5 Marla
10 Marla Brand New Double Storey House For Sale,"Wapda Town Phase 2, Wapda Town",2.6 Crore,2 Beds,3 Baths,10 Marla
Sd House (4 Bed) 12 Marla In Askari 3 Multan Are Available For Sale,"Askari Colony, Multan",2.5 Crore,5 Beds,6 Baths,12 Marla
House For sale In DHA Phase 1 - Sector M,"DHA Phase 1 - Sector M, DHA Phase 1",5.75 Crore,5 Beds,7 Baths,1 Kanal
6 Marla House For Sale Munirabad,"Chowk Kumharanwala, Multan",70 Lakh,5 Beds,6 Baths,6 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,3 Beds,4 Baths,10 Marla
10 Marla Brand New Stylish House For Sale On Main 80ft Road,"Buch Executive Villas, Multan",2.75 Crore,5 Beds,6 Baths,10 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,,,10 Marla
1 Kanal Spanish House Modern Design Hot Location Available For Sale In Dha Multan,"DHA Phase 1 - Sector M, DHA Phase 1",4.25 Crore,,,1 Kanal
Get In Touch Now To Buy A House In Multan,"DHA Phase 1 - Sector M, DHA Phase 1",5.5 Crore,5 Beds,6 Baths,1 Kanal
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,4 Beds,5 Baths,10 Marla
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,5 Beds,6 Baths,10 Marla
9  Marla House For Sale In Main Bosan Road Near Safari Town,"Bosan Road, Multan",1.3 Crore,5 Beds,6 Baths,9 Marla
"Street 13, House No 19","Royal Orchard - Block G, Royal Orchard",1.25 Crore,2 Beds,3 Baths,5 Marla
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,4 Beds,5 Baths,10 Marla
6 Marla Brand New Double Storey House For Sale On Dream Located In Dha Villas,"DHA Villas, DHA Defence",1.35 Crore,5 Beds,6 Baths,6 Marla
Corner Double Storey Brand New 1 Kanal House For Sale In Model Town,"Model Town - Block C, Model Town",5.4 Crore,2 Beds,3 Baths,1 Kanal
Bahdurpur 5 Marla Brand Double Storey House 4 Bed Attach Bath Available,"Bahadurpur, Multan",1 Crore,3 Beds,4 Baths,5 Marla
Stunning 10 Marla House In Wapda Town Phase 2 Available,"Wapda Town Phase 2, Wapda Town",3 Crore,5 Beds,6 Baths,10 Marla
Stunning 10 Marla House In Wapda Town Phase 2 Available,"Wapda Town Phase 2, Wapda Town",3 Crore,3 Beds,4 Baths,10 Marla
House For sale In DHA Phase 1 - Sector M,"DHA Phase 1 - Sector M, DHA Phase 1",5.75 Crore,5 Beds,6 Baths,1 Kanal
7.5 Marla House Available For Sale,"Buch Executive Villas - Phase 2, Buch Executive Villas",1.95 Crore,,,7.5 Marla
9  Marla House For Sale In Main Bosan Road Near Safari Town,"Bosan Road, Multan",1.3 Crore,2 Beds,3 Baths,9 Marla
Buch Villas 5 Marla Brand New Double Storey Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,4 Beds,5 Baths,5 Marla
10 Marla Brand New Double Storey House For Sale,"Wapda Town Phase 2, Wapda Town",2.6 Crore,,,10 Marla
Corner Double Storey Brand New 1 Kanal House For Sale In Model Town,"Model Town - Block C, Model Town",5.4 Crore,4 Beds,5 Baths,1 Kanal
Buch Villas 5 Marla Double Storey Brand New Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,5 Beds,6 Baths,5 Marla
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,5 Beds,6 Baths,10 Marla
"Street 13, House No 19","Royal Orchard - Block G, Royal Orchard",1.25 Crore,3 Beds,4 Baths,5 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,5 Beds,6 Baths,10 Marla
10 Marla Brand New Double Storey House For Sale,"Wapda Town Phase 2, Wapda Town",2.6 Crore,,,10 Marla
1 Kanal Spanish House Modern Design Hot Location Available For Sale In Dha Multan,"DHA Phase 1 - Sector M, DHA Phase 1",4.25 Crore,3 Beds,4 Baths,1 Kanal
1 Kanal Spanish House Modern Design Hot Location Available For Sale In Dha Multan,"DHA Phase 1 - Sector M, DHA Phase 1",4.25 Crore,,,1 Kanal
1 Kanal Spanish House Modern Design Hot Location Available For Sale In Dha Multan,"DHA Phase 1 - Sector M, DHA Phase 1",4.25 Crore,4 Beds,5 Baths,1 Kanal
6 Marla Brand New Double Storey House For Sale On Dream Located In Dha Villas,"DHA Villas, DHA Defence",1.35 Crore,4 Beds,5 Baths,6 Marla
Corner Double Storey Brand New 1 Kanal House For Sale In Model Town,"Model Town - Block C, Model Town",5.4 Crore,4 Beds,5 Baths,1 Kanal
1 Kanal Spanish House Modern Design Hot Location Available For Sale In Dha Multan,"DHA Phase 1 - Sector M, DHA Phase 1",4.25 Crore,3 Beds,4 Baths,1 Kanal
1 Kanal Spanish House Modern Design Hot Location Available For Sale In Dha Multan,"DHA Phase 1 - Sector M, DHA Phase 1",4.25 Crore,2 Beds,3 Baths,1 Kanal
9 MARLA BRAND NEW DOUBLE STOREY VILLA FOR SALE ON GOLDEN LOCATION IN DHA VILLAS,"DHA Villas, DHA Defence",1.95 Crore,3 Beds,4 Baths,9 Marla
1 Kanal Spanish House Modern Design Hot Location Available For Sale In Dha Multan,"DHA Phase 1 - Sector M, DHA Phase 1",4.25 Crore,4 Beds,5 Baths,1 Kanal
Double Storey 10 Marla House Available In Pearl City For sale,"Pearl City, Multan",1.75 Crore,4 Beds,5 Baths,10 Marla
Buch Villas 5 Marla Double Storey Brand New Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,4 Beds,5 Baths,5 Marla
House For sale In DHA Phase 1 - Sector M,"DHA Phase 1 - Sector M, DHA Phase 1",5.75 Crore,6 Beds,6 Baths,1 Kanal
20 Marla Double Storey House Full Marble Tiles Ideal Location Per Hy,"New Shalimar Colony, Multan",3 Crore,5 Beds,6 Baths,1 Kanal
Corner Double Storey Brand New 1 Kanal House For Sale In Model Town,"Model Town - Block C, Model Town",5.4 Crore,3 Beds,4 Baths,1 Kanal
Corner Double Storey Brand New 1 Kanal House For Sale In Model Town,"Model Town - Block C, Model Town",5.4 Crore,4 Beds,5 Baths,1 Kanal
9  Marla House For Sale In Main Bosan Road Near Safari Town,"Bosan Road, Multan",1.3 Crore,,,9 Marla
5 Marla House For Sale In Beautiful Gulgasht Colony,"Gulgasht Colony, Multan",1.15 Crore,2 Beds,3 Baths,5 Marla
Buch Villas 5 Marla Brand New Double Storey Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,5 Beds,7 Baths,5 Marla
6 Marla Brand New Double Storey House For Sale On Dream Located In Dha Villas,"DHA Villas, DHA Defence",1.35 Crore,4 Beds,5 Baths,6 Marla
5 Marla House For Sale In Beautiful Gulgasht Colony,"Gulgasht Colony, Multan",1.15 Crore,4 Beds,5 Baths,5 Marla
10 Marla Brand New Stylish House For Sale On Main 80ft Road,"Buch Executive Villas, Multan",2.75 Crore,3 Beds,4 Baths,10 Marla
6 Marla House For Sale Munirabad,"Chowk Kumharanwala, Multan",70 Lakh,5 Beds,6 Baths,6 Marla
Buch Villas 5 Marla Brand New Double Storey Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,5 Beds,6 Baths,5 Marla
Stunning 10 Marla House In Wapda Town Phase 2 Available,"Wapda Town Phase 2, Wapda Town",3 Crore,,,10 Marla
"Street 13, House No 19","Royal Orchard - Block G, Royal Orchard",1.25 Crore,5 Beds,6 Baths,5 Marla
Bahdurpur 5 Marla Brand Double Storey House 4 Bed Attach Bath Available,"Bahadurpur, Multan",1 Crore,,,5 Marla
Stunning 10 Marla House In Wapda Town Phase 2 Available,"Wapda Town Phase 2, Wapda Town",3 Crore,3 Beds,4 Baths,10 Marla
5 Marla House For Sale In Beautiful Gulgasht Colony,"Gulgasht Colony, Multan",1.15 Crore,,,5 Marla
Buch Villas 5 Marla Double Storey Brand New Stylish House Available,"Buch Executive Villas, Multan",1.35 Crore,3 Beds,4 Baths,5 Marla
Bahdurpur 5 Marla Brand Double Storey House 4 Bed Attach Bath Available,"Bahadurpur, Multan",1 Crore,4 Beds,5 Baths,5 Marla
10marla Double Storey Brand New House  Ideal Location,"New Shalimar Colony, Multan",2 Crore,4 Beds,5 Baths,10 Marla
